from,to
 AVEN , AVENUE 
 AVE , AVENUE 
 AV , AVENUE 
 LN , LANE 
 APPTS , APARTMENTS 
 APTS , APARTMENTS 
 APPT , APARTMENT 
 APT , APARTMENT 
 BLK , BLOCK 
 BVLD , BOULEVARD 
 DR , DRIVE 
 RD , ROAD 
 PK , PARK 
 STR , STREET 
 NOS , NUMBERS 
 NO , NUMBER 
 HSE , HOUSE 
 BERKS(?:\s|\Z), BERKSHIRE 
 WARKS(?:\s|\Z), WARWICKSHIRE 
 BUCKS(?:\s|\Z), BUCKINGHAMSHIRE 
 HANTS(?:\s|\Z), HAMPSHIRE 
 LEICS(?:\s|\Z), LEICESTERSHIRE 
 LINCS(?:\s|\Z), LINCOLNSHIRE 
 LANCS(?:\s|\Z), LANCASHIRE 
 MIDDX(?:\s|\Z), MIDDLESEX 
 STAFFS(?:\s|\Z), STAFFORDSHIRE 
 WORCS(?:\s|\Z), WORCESTERSHIRE 
 WILTS(?:\s|\Z), WILTSHIRE 
 HERTS(?:\s|\Z), HERTFORDSHIRE 
 CAMBS(?:\s|\Z), CAMBRIDGESHIRE 
 OXON(?:\s|\Z), OXFORDSHIRE 
 HFDS(?:\s|\Z), HERTFORDSHIRE 
 BEDS(?:\s|\Z), BEDFORDSHIRE 
 GLOS(?:\s|\Z), GLOUCESTERSHIRE 
 STOKE ON TRENT , STOKE-ON-TRENT 
 SOUTHEND ON SEA , SOUTHEND-ON-SEA 
 WESTCLIFF ON SEA , WESTCLIFF-ON-SEA 
 ENGLAND(?:\s|\Z), 
 UNITED KINGDOM(?:\s|\Z), 
 1ST , FIRST 
 2ND , SECOND 
 3RD , THIRD 
 4TH , FOURTH 
 5TH , FIFTH 
 6TH , SIXTH 
 7TH , SEVENTH 
 8TH , EIGHT 
 